iter	RMSE
0	4323.014846
1	4285.008793
2	4237.661027
3	4188.977526
4	4148.987168
5	4120.757975
6	4084.881259
7	4068.237678
8	4029.052338
9	3985.764061
10	3951.49999
11	3917.766957
12	3895.57239
13	3859.511471
14	3828.243016
15	3798.943632
16	3772.640579
17	3731.674361
18	3698.67173
19	3669.704119
20	3651.428711
21	3619.023731
22	3588.259214
23	3555.075383
24	3525.482355
25	3499.896814
26	3474.073156
27	3456.517415
28	3426.828813
29	3407.48814
30	3370.638857
31	3332.980641
32	3300.985182
33	3279.075141
34	3254.707484
35	3237.238133
36	3209.020133
37	3181.420502
38	3150.451087
39	3125.403366
40	3098.267496
41	3073.639463
42	3054.38068
43	3031.337883
44	3011.652736
45	2984.44236
46	2965.792302
47	2945.530976
48	2920.603802
49	2904.175743
50	2879.951824
51	2866.809546
52	2840.989405
53	2813.907884
54	2796.348386
55	2771.932871
56	2748.793138
57	2722.846583
58	2707.675613
59	2689.598135
60	2670.957274
61	2652.592784
62	2627.706809
63	2606.453932
64	2578.998422
65	2556.584173
66	2540.59245
67	2525.955068
68	2512.006322
69	2495.724243
70	2478.603577
71	2465.148383
72	2447.369123
73	2427.755841
74	2404.548515
75	2383.586244
76	2368.006526
77	2347.201822
78	2327.24247
79	2307.879201
80	2291.359175
81	2278.528809
82	2264.259027
83	2249.464065
84	2227.322087
85	2212.898238
86	2199.601094
87	2188.377243
88	2170.847601
89	2156.998826
90	2140.986026
91	2130.323576
92	2115.320689
93	2101.351611
94	2080.744778
95	2066.63352
96	2056.547696
97	2036.860842
98	2025.077031
99	2011.945802
100	2000.400752
101	1984.752317
102	1972.447127
103	1956.088617
104	1943.777895
105	1931.721325
106	1919.884079
107	1902.807497
108	1889.457652
109	1878.24466
110	1867.564631
111	1857.751368
112	1846.295982
113	1832.999406
114	1819.347444
115	1808.730944
116	1796.431469
117	1788.50481
118	1776.382408
119	1763.069232
120	1751.648256
121	1734.71829
122	1724.769771
123	1711.863489
124	1698.442559
125	1690.644221
126	1679.700855
127	1671.20734
128	1662.279995
129	1652.287156
130	1643.034776
131	1631.351704
132	1618.966956
133	1608.32047
134	1598.500732
135	1587.656991
136	1576.428438
137	1564.974771
138	1552.740999
139	1543.448808
140	1534.373667
141	1523.851096
142	1513.93111
143	1506.096288
144	1497.37218
145	1488.86888
146	1479.342373
147	1469.009587
148	1460.245954
149	1450.151028
150	1438.093724
151	1429.790081
152	1421.10152
153	1414.386025
154	1406.267138
155	1397.43781
156	1389.961101
157	1381.171159
158	1372.94805
159	1365.30935
160	1357.171886
161	1349.053898
162	1339.091946
163	1330.889139
164	1323.409028
165	1315.364501
166	1306.475783
167	1298.460445
168	1290.657181
169	1279.695843
170	1271.647342
171	1264.815123
172	1257.768291
173	1250.721913
174	1242.849453
175	1236.214404
176	1229.737424
177	1223.369036
178	1215.113198
179	1207.891794
180	1202.51038
181	1194.247568
182	1188.516107
183	1180.751455
184	1173.276717
185	1166.654849
186	1160.660489
187	1153.573205
188	1146.703862
189	1141.12299
190	1134.60085
191	1129.515478
192	1122.776511
193	1116.708792
194	1110.77432
195	1105.256404
196	1099.153016
197	1092.645641
198	1086.703487
199	1081.310215
200	1075.604828
201	1070.576118
202	1064.479556
203	1059.107393
204	1048.916528
205	1044.054835
206	1038.445316
207	1032.430535
208	1027.111069
209	1022.171949
210	1016.701354
211	1011.589563
212	1006.047526
213	1000.958013
214	996.0837148
215	991.6372198
216	984.3256633
217	978.8592851
218	974.8860742
219	966.5258005
220	961.7514871
221	956.9930621
222	952.0160858
223	946.8363391
224	942.6198086
225	938.5315538
226	934.3668847
227	929.7470121
228	925.3692008
229	921.0777601
230	910.3955008
231	906.2678128
232	901.6606974
233	897.4935351
234	887.2791384
235	883.0478278
236	878.6294723
237	869.1418226
238	865.0940912
239	856.7314537
240	852.3074007
241	843.0779788
242	838.80646
243	834.7062732
244	830.9483896
245	822.0760409
246	813.3542882
247	809.3673802
248	805.3951159
249	797.3482377
250	793.2970393
251	789.436982
252	785.4882236
253	781.7030648
254	774.5778385
255	766.8953434
256	759.0700331
257	755.157724
258	748.3764514
259	744.805954
260	741.2578876
261	737.6833878
262	734.1346959
263	727.6906873
264	724.1740165
265	716.1262174
266	712.7782449
267	705.3752311
268	702.0867286
269	694.611712
270	687.767945
271	684.3802417
272	681.1212249
273	677.5873136
274	674.2293033
275	668.5172236
276	665.2403338
277	661.9892228
278	658.8945449
279	651.7871373
280	648.6173574
281	641.8429212
282	638.6107727
283	635.664833
284	629.0589762
285	622.9471302
286	616.5935415
287	613.7244922
288	610.8348229
289	607.9663925
290	602.6256253
291	596.8362038
292	593.964642
293	588.1488897
294	585.4035974
295	582.6055154
296	577.5692211
297	574.9019667
298	572.1791397
299	569.4831919
300	563.675851
301	558.2241885
302	555.5028955
303	550.0109945
304	545.3086844
305	542.7461853
306	537.4754167
307	535.0342335
308	532.5413535
309	530.0310648
310	527.5840169
311	522.3476208
312	520.004277
313	514.7741199
314	512.4114335
315	507.6633447
316	505.4003655
317	500.3045949
318	498.0162747
319	493.3155664
320	491.0671062
321	486.1640368
322	483.9997427
323	481.8131842
324	479.6484454
325	475.0387185
326	472.9105325
327	468.6109702
328	466.5754511
329	461.6168961
330	459.558919
331	457.5776705
332	455.3443153
333	450.6796606
334	448.6959752
335	446.7887925
336	442.094868
337	440.2214709
338	436.3003431
339	434.3630575
340	432.5405893
341	430.7366883
342	426.5324323
343	424.7598183
344	423.0053202
345	418.5553589
346	416.8321604
347	413.1970506
348	411.5057144
349	409.8317334
350	406.2517636
351	404.6075766
352	400.3356215
353	398.7201437
354	396.9515418
355	392.7790687
356	391.2069615
357	389.5595738
358	388.0184114
359	383.9955418
360	382.3071849
361	380.8086474
362	379.3256824
363	375.4041429
364	373.7837506
365	372.1323146
366	368.334971
367	366.7614898
368	365.3577681
369	363.7887818
370	360.0965853
371	358.55759
372	357.0357445
373	353.3167848
