iter	Passed	Remaining
0	150	150473
1	152	75898
2	153	51036
3	154	38578
4	155	31022
5	157	26055
6	158	22482
7	159	19721
8	159	17608
9	160	15903
10	161	14557
11	163	13446
12	164	12497
13	165	11660
14	166	10960
15	168	10345
16	168	9770
17	170	9285
18	171	8850
19	173	8478
20	173	8106
21	176	7829
22	177	7557
23	179	7304
24	181	7077
25	183	6864
26	184	6660
27	185	6444
28	187	6263
29	187	6069
30	188	5899
31	189	5742
32	191	5606
33	192	5478
34	194	5363
35	197	5282
36	198	5174
37	200	5068
38	201	4968
39	202	4866
40	204	4778
41	205	4696
42	207	4615
43	208	4538
44	210	4469
45	212	4398
46	213	4328
47	214	4255
48	216	4194
49	216	4121
50	218	4062
51	218	3990
52	220	3938
53	221	3886
54	223	3836
55	225	3795
56	225	3736
57	227	3694
58	229	3656
59	230	3604
60	231	3565
61	233	3530
62	234	3493
63	236	3457
64	238	3424
65	239	3394
66	241	3366
67	243	3333
68	244	3293
69	245	3264
70	247	3234
71	248	3206
72	252	3206
73	254	3182
74	258	3189
75	260	3166
76	261	3136
77	263	3118
78	265	3097
79	267	3080
80	269	3053
81	269	3021
82	271	3001
83	272	2975
84	274	2954
85	278	2958
86	280	2940
87	280	2912
88	288	2948
89	290	2932
90	291	2915
91	293	2895
92	295	2878
93	296	2856
94	297	2835
95	298	2814
96	299	2787
97	302	2780
98	303	2757
99	304	2737
100	305	2719
101	306	2700
102	307	2681
103	309	2662
104	310	2644
105	311	2626
106	312	2610
107	314	2593
108	316	2588
109	318	2579
110	320	2567
111	321	2550
112	323	2538
113	324	2525
114	326	2511
115	327	2496
116	329	2483
117	329	2466
118	331	2454
119	332	2441
120	334	2432
121	336	2424
122	337	2408
123	339	2399
124	341	2388
125	342	2374
126	344	2365
127	344	2348
128	346	2337
129	348	2329
130	349	2317
131	351	2308
132	352	2300
133	354	2292
134	356	2284
135	357	2273
136	361	2277
137	363	2267
138	364	2256
139	365	2245
140	366	2233
141	367	2223
142	369	2212
143	369	2198
144	370	2184
145	371	2174
146	372	2163
147	375	2162
148	377	2155
149	378	2143
150	379	2134
151	380	2124
152	381	2112
153	382	2099
154	383	2090
155	384	2080
156	385	2067
157	386	2057
158	387	2047
159	387	2035
160	390	2035
161	392	2028
162	393	2019
163	394	2011
164	395	2003
165	396	1994
166	397	1982
167	398	1974
168	399	1964
169	400	1956
170	401	1948
171	402	1939
172	405	1939
173	406	1932
174	408	1924
175	408	1913
176	409	1903
177	410	1896
178	411	1888
179	412	1881
180	413	1871
181	414	1864
182	415	1854
183	415	1844
184	417	1837
185	417	1828
186	420	1829
187	425	1838
188	436	1872
189	436	1862
190	438	1855
191	438	1845
192	439	1839
193	441	1833
194	442	1826
195	443	1817
196	444	1811
197	445	1804
198	446	1799
199	448	1795
200	450	1791
201	451	1782
202	452	1777
203	453	1769
204	454	1763
205	455	1754
206	456	1748
207	457	1742
208	458	1736
209	459	1728
210	460	1722
211	462	1719
212	465	1718
213	465	1711
214	466	1703
215	467	1695
216	468	1689
217	469	1684
218	469	1675
219	471	1670
220	472	1664
221	473	1658
222	474	1653
223	475	1648
224	477	1644
225	478	1639
226	479	1633
227	481	1629
228	482	1624
229	483	1617
230	484	1612
231	485	1606
232	486	1601
233	487	1594
234	488	1589
235	489	1585
236	490	1580
237	493	1580
238	495	1577
239	496	1573
240	498	1568
241	499	1564
242	500	1559
243	501	1554
244	502	1548
245	503	1543
246	504	1539
247	508	1540
248	509	1537
249	511	1534
250	513	1532
251	516	1531
252	517	1528
253	519	1525
254	520	1521
255	522	1519
256	524	1515
257	525	1511
258	526	1506
259	527	1501
260	528	1497
261	530	1493
262	531	1489
263	532	1484
264	533	1480
265	535	1477
266	536	1474
267	538	1470
268	539	1465
269	540	1460
270	541	1456
271	542	1452
272	543	1448
273	545	1444
274	546	1439
275	547	1435
276	548	1431
277	549	1427
278	551	1426
279	553	1423
280	554	1419
281	556	1415
282	557	1412
283	558	1408
284	559	1404
285	561	1400
286	562	1396
287	563	1393
288	564	1388
289	565	1384
290	566	1381
291	568	1377
292	569	1374
293	570	1370
294	571	1366
295	572	1362
296	574	1358
297	575	1355
298	576	1351
299	577	1348
300	579	1344
301	580	1341
302	581	1337
303	583	1335
304	584	1331
305	585	1328
306	586	1324
307	587	1320
308	588	1317
309	590	1313
310	591	1310
311	592	1306
312	593	1302
313	594	1299
314	595	1295
315	597	1292
316	598	1288
317	599	1285
318	600	1281
319	601	1278
320	602	1275
321	604	1272
322	605	1268
323	606	1265
324	607	1261
325	608	1258
326	609	1255
327	611	1252
328	612	1248
329	613	1245
330	614	1242
331	615	1238
332	616	1235
333	618	1232
334	619	1229
335	620	1225
336	621	1222
337	622	1218
338	623	1215
339	624	1212
340	625	1208
341	626	1205
342	627	1202
343	628	1198
344	629	1195
345	630	1192
346	631	1188
347	633	1186
348	633	1182
349	634	1178
350	636	1175
351	636	1172
352	638	1169
353	638	1166
354	640	1163
355	641	1160
356	642	1156
357	643	1154
358	644	1150
359	645	1148
360	647	1145
361	647	1141
362	648	1138
363	650	1135
364	651	1133
365	652	1130
366	653	1127
367	655	1124
368	655	1121
369	657	1118
370	658	1116
371	659	1113
372	660	1111
373	661	1107
374	663	1105
375	664	1102
376	665	1099
377	666	1096
378	667	1093
379	668	1090
380	669	1088
381	670	1085
382	672	1082
383	673	1080
384	674	1077
385	675	1074
386	676	1072
387	678	1069
388	679	1067
389	680	1064
390	681	1062
391	683	1059
392	684	1056
393	685	1054
394	686	1051
395	687	1049
396	688	1046
397	689	1043
398	691	1041
399	692	1038
400	693	1036
401	695	1034
402	696	1031
403	697	1029
404	698	1026
405	699	1024
406	701	1021
407	702	1018
408	703	1016
409	704	1013
410	705	1011
411	706	1008
412	708	1006
413	709	1003
414	710	1001
415	711	998
416	712	996
417	713	994
418	715	991
419	716	989
420	717	986
421	720	986
422	722	985
423	723	983
424	726	983
425	731	985
426	734	986
427	738	986
428	742	987
429	745	988
430	750	990
431	753	990
432	757	991
433	760	992
434	763	991
435	765	990
436	767	988
437	769	987
438	771	985
439	775	987
440	779	988
441	787	993
442	790	993
443	808	1012
444	820	1022
445	823	1022
446	824	1020
447	826	1018
448	829	1018
449	831	1016
450	832	1013
451	834	1011
452	836	1009
453	838	1008
454	839	1006
455	841	1004
456	843	1002
457	844	999
458	846	997
459	847	995
460	849	992
461	850	990
462	852	988
463	856	989
464	859	988
465	861	987
466	865	988
467	869	988
468	872	988
469	876	988
470	878	987
471	882	987
472	884	985
473	886	983
474	888	982
475	890	980
476	892	978
477	894	976
478	897	976
479	900	975
480	903	975
481	906	973
482	908	972
483	910	970
484	911	968
485	912	965
486	914	963
487	915	960
488	917	958
489	918	956
490	920	953
491	922	952
492	924	950
493	925	948
494	928	947
495	930	945
496	932	943
497	933	940
498	935	938
499	936	936
500	938	934
501	941	933
502	941	930
503	942	927
504	943	924
505	944	921
506	944	918
507	946	916
508	946	913
